timestamp,benchmark_source_commit,tag,method,backend,setup_mode,network_profile,network,mode,trial_index,warmup,status,correctness,logN,N,t,L,m,total_wall_ms,total_cpu_work_ms,split_input_setup_ms,pprf_key_setup_ms,p0_expand_ms,p1_expand_ms,base_ot_count,base_ot_protocol_invocations,extended_ot_count,payload_bytes,correction_bytes,split_input_bytes,pprf_bytes,p0_bytes_sent,p1_bytes_sent,total_comm_bytes,bytes_per_product_share,bytes_per_rm_vole_coordinate,notes
2026-07-26T05:49:52.188478+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_VECTOR_GENERIC_SPLIT,vector,split-input-vole,LOCAL_TCP,tcp-loopback,bench,8,0,OK,PASS,12,4096,64,128,8,105.00099999999999,209.69,48.654999999999994,55.622,0.7240000000000001,0.743,,2,,0,0,4211904,79688,4220584,70888,4291392,33526.5,130.962890625,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; vector_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; vector_fixed_prime_setup; local_expand"
2026-07-26T05:49:52.541512+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_VECTOR_GENERIC_SPLIT,vector,split-input-vole,LOCAL_TCP,tcp-loopback,bench,9,0,OK,PASS,12,4096,64,128,8,105.12100000000001,210.088,48.198,56.222,0.7010000000000001,0.7290000000000001,,2,,0,0,4211904,79688,4220584,70888,4291392,33526.5,130.962890625,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; vector_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; vector_fixed_prime_setup; local_expand"
2026-07-26T05:49:53.245457+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_COORD_GENERIC_SPLIT,coordinate,split-input-vole,LOCAL_TCP,tcp-loopback,verify,-2,0,OK,PASS,12,4096,64,128,8,463.851,927.5759999999999,52.91,410.12100000000004,0.82,0.9460000000000001,,16,,0,0,4211904,702016,4698296,215704,4324096,33782.0,131.9609375,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand"
2026-07-26T05:49:53.999533+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_COORD_GENERIC_SPLIT,coordinate,split-input-vole,LOCAL_TCP,tcp-loopback,bench,-1,1,OK,PASS,12,4096,64,128,8,495.786,990.955,56.395,438.28299999999996,1.108,0.939,,16,,0,0,4211904,407288,4403368,215704,4618992,36085.875,140.96044921875,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand"
2026-07-26T05:49:54.703892+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_COORD_GENERIC_SPLIT,coordinate,split-input-vole,LOCAL_TCP,tcp-loopback,bench,0,0,OK,PASS,12,4096,64,128,8,467.341,934.3829999999999,48.751000000000005,417.84,0.751,0.945,,16,,0,0,4211904,407288,4403368,215704,4618992,36085.875,140.96044921875,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand"
2026-07-26T05:49:55.458207+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_COORD_GENERIC_SPLIT,coordinate,split-input-vole,LOCAL_TCP,tcp-loopback,bench,1,0,OK,PASS,12,4096,64,128,8,515.713,1031.2350000000001,51.135,463.826,0.752,0.9460000000000001,,16,,0,0,4211904,407288,4403368,215704,4618992,36085.875,140.96044921875,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand"
2026-07-26T05:49:56.162505+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_COORD_GENERIC_SPLIT,coordinate,split-input-vole,LOCAL_TCP,tcp-loopback,bench,2,0,OK,PASS,12,4096,64,128,8,468.0,935.8109999999999,49.491,417.738,0.771,0.9600000000000001,,16,,0,0,4211904,407288,4403368,215704,4618992,36085.875,140.96044921875,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand"
2026-07-26T05:49:56.816680+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_COORD_GENERIC_SPLIT,coordinate,split-input-vole,LOCAL_TCP,tcp-loopback,bench,3,0,OK,PASS,12,4096,64,128,8,422.142,844.129,50.071999999999996,371.33500000000004,0.735,0.93,,16,,0,0,4211904,407288,4403368,215704,4618992,36085.875,140.96044921875,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand"
2026-07-26T05:49:57.470663+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_COORD_GENERIC_SPLIT,coordinate,split-input-vole,LOCAL_TCP,tcp-loopback,bench,4,0,OK,PASS,12,4096,64,128,8,421.636,843.1120000000001,48.747,372.14599999999996,0.743,0.937,,16,,0,0,4211904,407288,4403368,215704,4618992,36085.875,140.96044921875,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand"
2026-07-26T05:49:58.124616+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RMVOLE_NET_BENCH,RM_COORD_GENERIC_SPLIT,coordinate,split-input-vole,LOCAL_TCP,tcp-loopback,bench,5,0,OK,PASS,12,4096,64,128,8,421.431,842.716,48.672,372.01800000000003,0.74,0.939,,16,,0,0,4211904,407288,4403368,215704,4618992,36085.875,140.96044921875,"tcp_two_process; p0_noisy_vole_receiver; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand; tcp_two_process; p1_noisy_vole_sender; real_libOTe_NoisyVole_split_input_length_2t; F=array<u64,M>; G=u64; coordinate_scalar_fixed_prime_setup; local_expand"
