method,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
RM_COORD_GENERIC_SPLIT,16,16,p1_expand_ms,10,30.546,30.8791,0.7849754709543465,30.451,30.887999999999998,30.168,33.001999999999995
RM_COORD_GENERIC_SPLIT,16,32,total_wall_ms,10,3053.6965,3080.6366000000003,125.60574712344973,2956.027,3121.213,2954.853,3333.482
RM_COORD_GENERIC_SPLIT,16,32,total_comm_bytes,10,69888624.0,69888624.0,0.0,69888624.0,69888624.0,69888624.0,69888624.0
RM_COORD_GENERIC_SPLIT,16,32,split_input_setup_ms,10,316.5575,320.7436,16.976558574693517,307.205,329.33,303.028,362.18
RM_COORD_GENERIC_SPLIT,16,32,pprf_key_setup_ms,10,2640.83,2670.7688,108.96087254221128,2564.044,2708.322,2559.164,2879.5480000000002
RM_COORD_GENERIC_SPLIT,16,32,p0_expand_ms,10,71.536,73.4998,4.623496313397475,70.838,74.574,69.36,85.51100000000001
RM_COORD_GENERIC_SPLIT,16,32,p1_expand_ms,10,68.80600000000001,71.1729,4.619110638423807,68.705,72.037,66.86200000000001,81.324
RM_COORD_GENERIC_SPLIT,16,8,total_wall_ms,10,746.171,747.2692,39.38586294040032,714.251,750.343,698.7710000000001,845.601
RM_COORD_GENERIC_SPLIT,16,8,total_comm_bytes,10,4889328.0,4889328.0,0.0,4889328.0,4889328.0,4889328.0,4889328.0
RM_COORD_GENERIC_SPLIT,16,8,split_input_setup_ms,10,50.3855,51.8674,6.56894064823241,47.418,52.786,47.155,70.44300000000001
RM_COORD_GENERIC_SPLIT,16,8,pprf_key_setup_ms,10,678.1434999999999,677.5393,38.04811362485662,647.869,681.4010000000001,635.09,772.101
RM_COORD_GENERIC_SPLIT,16,8,p0_expand_ms,10,16.914499999999997,17.3485,1.3171220330705884,16.349,17.739,16.255,20.714
RM_COORD_GENERIC_SPLIT,16,8,p1_expand_ms,10,15.642000000000001,16.1803,1.290504556365455,15.5,15.733,15.483,19.713
RM_COORD_GENERIC_SPLIT,18,16,total_wall_ms,10,2069.011,2063.2786,83.61232898586191,1982.33,2148.616,1944.2520000000002,2186.472
