timestamp,git_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,logN,N,t,m,trial_index,warmup,status,data_source,correctness,network,split_input_setup_ms,pprf_key_setup_ms,pprf_full_eval_p0_ms,pprf_full_eval_p1_ms,wht_p0_ms,wht_p1_ms,pointwise_p0_ms,pointwise_p1_ms,output_materialization_p0_ms,output_materialization_p1_ms,setup_wall_ms,expand_wall_ms,total_wall_ms,local_expand_p0_ms,local_expand_p1_ms,total_cpu_work_ms,p0_peak_rss_bytes,p1_peak_rss_bytes,max_party_peak_rss_bytes,sum_party_peak_rss_bytes,pprf_instances,split_input_noisy_svole_length,pprf_domain_size,pprf_point_count,pprf_leaves_per_sparse_polynomial,notes,p0_bytes_sent,p0_bytes_received,p1_bytes_sent,p1_bytes_received,total_comm_bytes,split_input_base_ot_bytes,split_input_payload_bytes,pprf_base_ot_bytes,pprf_payload_or_correction_bytes,framing_bytes,bytes_per_rm_vole_coordinate,bits_per_base_field_rank_one_entry,split_input_comm_percent,pprf_comm_percent
2026-07-23T01:21:03.379603+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,32,0,0,OK,measured,PASS,tcp-loopback,410.292,159.188,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,482.432,12.304,494.399,12.304,11.968,593.752,68194304,68194304,68194304,136388608,2,128,256,64,16384,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,67144040,229608,229608,67144040,67373648,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,272,4112.1611328125,1028.040283203125,99.71045059041482,0.2891456909087066
2026-07-23T01:21:04.249244+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,8,-1,1,OK,measured,PASS,tcp-loopback,72.145,93.474,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,156.199,13.847,168.97799999999998,13.847,12.779,192.245,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,4237992,87272,87272,4237992,4325264,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,80,65.998291015625,65.998291015625,97.37634512020539,2.621805281712284
2026-07-23T01:21:04.791935+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,8,0,0,OK,measured,PASS,tcp-loopback,72.086,105.561,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,168.243,13.934999999999999,181.106,13.934999999999999,12.863,204.445,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,4237992,87272,87272,4237992,4325264,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,80,65.998291015625,65.998291015625,97.37634512020539,2.621805281712284
2026-07-23T01:21:05.347412+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,16,-1,1,OK,measured,PASS,tcp-loopback,179.315,132.155,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,276.15000000000003,26.455,301.579,26.455,25.429,363.354,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,16820968,137448,137448,16820968,16958416,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,144,258.764892578125,129.3824462890625,99.13723074136169,0.8619201227284435
2026-07-23T01:21:06.038915+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,16,0,0,OK,measured,PASS,tcp-loopback,179.559,158.066,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,302.118,26.41,327.5,26.41,25.381999999999998,389.41700000000003,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,16820968,137448,137448,16820968,16958416,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,144,258.764892578125,129.3824462890625,99.13723074136169,0.8619201227284435
2026-07-23T01:21:06.757170+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,32,-1,1,OK,measured,PASS,tcp-loopback,427.399,206.581,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,545.644,52.443999999999996,597.3380000000001,52.443999999999996,51.695,738.119,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,67152744,237800,237800,67152744,67390544,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,272,1028.298095703125,257.07452392578125,99.6854514188222,0.31414496372072614
2026-07-23T01:21:07.771814+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,32,0,0,OK,measured,PASS,tcp-loopback,431.21,207.577,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,549.684,80.353,629.98,80.353,80.295,799.435,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,67152744,237800,237800,67152744,67390544,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,272,1028.298095703125,257.07452392578125,99.6854514188222,0.31414496372072614
2026-07-23T01:21:08.838259+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,8,-1,1,OK,measured,PASS,tcp-loopback,134.74099999999999,159.137,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,282.442,97.68400000000001,377.603,97.68400000000001,95.161,486.723,68194304,68194304,68194304,136388608,2,128,4096,64,262144,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,4246696,95464,95464,4246696,4342160,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,80,16.56402587890625,16.56402587890625,96.99743906258637,3.000718536396632
2026-07-23T01:21:09.647661+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,8,0,0,OK,measured,PASS,tcp-loopback,115.29100000000001,147.595,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,251.35600000000002,69.268,315.806,69.268,64.44999999999999,396.604,68194304,68194304,68194304,136388608,2,128,4096,64,262144,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,4246696,95464,95464,4246696,4342160,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,80,16.56402587890625,16.56402587890625,96.99743906258637,3.000718536396632
2026-07-23T01:21:10.387739+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,16,-1,1,OK,measured,PASS,tcp-loopback,224.286,223.154,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,410.354,148.10000000000002,553.953,148.10000000000002,143.59900000000002,739.139,68194304,68194304,68194304,136388608,2,128,4096,64,262144,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,16829672,145640,145640,16829672,16975312,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,144,64.75567626953125,32.377838134765625,99.03855669928187,0.9605950099768417
2026-07-23T01:21:11.425893+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,16,0,0,OK,measured,PASS,tcp-loopback,223.738,214.688,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,400.18,157.88,542.713,157.88,142.533,738.839,68194304,68194304,68194304,136388608,2,128,4096,64,262144,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,16829672,145640,145640,16829672,16975312,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,144,64.75567626953125,32.377838134765625,99.03855669928187,0.9605950099768417
2026-07-23T01:21:12.466297+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,32,-1,1,OK,measured,PASS,tcp-loopback,470.566,360.79699999999997,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,736.734,291.68100000000004,1028.4150000000002,290.115,291.68100000000004,1413.159,68194304,68194304,68194304,136388608,2,128,4096,64,262144,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,67161448,245992,245992,67161448,67407440,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,272,257.13897705078125,64.28474426269531,99.6604647795555,0.3391317041560991
2026-07-23T01:21:14.089911+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,32,0,0,OK,measured,PASS,tcp-loopback,497.76,360.53200000000004,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,763.355,294.153,1055.5410000000002,294.153,292.186,1444.631,68194304,68194304,68194304,136388608,2,128,4096,64,262144,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,67161448,245992,245992,67161448,67407440,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,272,257.13897705078125,64.28474426269531,99.6604647795555,0.3391317041560991
2026-07-23T01:21:15.763098+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,20,1048576,64,8,-1,1,OK,measured,PASS,tcp-loopback,300.323,321.087,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,606.149,344.19899999999996,916.971,344.19899999999996,310.822,1276.431,68194304,68194304,68194304,136388608,2,128,16384,64,1048576,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,4255400,103656,103656,4255400,4359056,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,80,4.1571197509765625,4.1571197509765625,96.62147033669676,3.3766944035589357
2026-07-23T01:21:17.302303+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,20,1048576,64,8,0,0,OK,measured,PASS,tcp-loopback,299.58299999999997,310.554,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,594.1809999999999,356.768,913.472,356.768,319.291,1286.196,68194304,68194304,68194304,136388608,2,128,16384,64,1048576,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,4255400,103656,103656,4255400,4359056,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,80,4.1571197509765625,4.1571197509765625,96.62147033669676,3.3766944035589357
2026-07-23T01:21:18.851917+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,20,1048576,64,16,-1,1,OK,measured,PASS,tcp-loopback,420.07800000000003,518.806,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,887.505,861.687,1559.656,861.687,672.1510000000001,2472.7219999999998,68194304,68194304,68194304,136388608,2,128,16384,64,1048576,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,16838376,153832,153832,16838376,16992208,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,144,16.205032348632812,8.102516174316406,98.94007888792322,1.0590736648233119
2026-07-23T01:21:21.492528+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,20,1048576,64,16,0,0,OK,measured,PASS,tcp-loopback,416.935,518.51,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,892.083,704.666,1564.853,704.666,672.77,2312.881,68194304,68194304,68194304,136388608,2,128,16384,64,1048576,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,16838376,153832,153832,16838376,16992208,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,144,16.205032348632812,8.102516174316406,98.94007888792322,1.0590736648233119
2026-07-23T01:21:23.943434+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,20,1048576,64,32,-1,1,OK,measured,PASS,tcp-loopback,661.2940000000001,940.747,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,1461.904,1862.284,3324.189,1724.184,1862.284,5188.509,68194304,68194304,68194304,136388608,2,128,16384,64,1048576,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,67170152,254184,254184,67170152,67424336,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,272,64.30085754394531,16.075214385986328,99.63549066319318,0.36410592163636585
2026-07-23T01:21:28.808841+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,20,1048576,64,32,0,0,OK,measured,PASS,tcp-loopback,669.289,920.408,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,1457.5800000000002,1559.5140000000001,3017.094,1441.713,1559.5140000000001,4590.924,68194304,68194304,68194304,136388608,2,128,16384,64,1048576,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,67170152,254184,254184,67170152,67424336,included_in_split_input_bytes,included_in_split_input_bytes,included_in_pprf_bytes,included_in_pprf_bytes,272,64.30085754394531,16.075214385986328,99.63549066319318,0.36410592163636585
