timestamp,git_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,logN,N,t,m,trial_index,warmup,status,data_source,correctness,network,split_input_setup_ms,pprf_key_setup_ms,pprf_full_eval_p0_ms,pprf_full_eval_p1_ms,wht_p0_ms,wht_p1_ms,pointwise_p0_ms,pointwise_p1_ms,output_materialization_p0_ms,output_materialization_p1_ms,setup_wall_ms,expand_wall_ms,total_wall_ms,local_expand_p0_ms,local_expand_p1_ms,total_cpu_work_ms,p0_peak_rss_bytes,p1_peak_rss_bytes,max_party_peak_rss_bytes,sum_party_peak_rss_bytes,pprf_instances,split_input_noisy_svole_length,pprf_domain_size,pprf_point_count,pprf_leaves_per_sparse_polynomial,notes,check,result
2026-07-23T01:21:00.290939+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,64,32,-1,1,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:00.290975+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,64,32,0,0,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:00.290988+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,8,-1,1,OK,measured,PASS,tcp-loopback,61.256,73.71600000000001,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,126.00500000000001,3.274,129.015,3.274,3.0109999999999997,141.257,68194304,68194304,68194304,136388608,2,128,256,64,16384,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:00.782872+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,8,0,0,OK,measured,PASS,tcp-loopback,65.19999999999999,80.633,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,137.10500000000002,4.954,141.787,4.954,4.682,155.46899999999997,68194304,68194304,68194304,136388608,2,128,256,64,16384,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:01.287877+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,8,-1,1,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:01.287915+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,8,0,0,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:01.287924+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,16,-1,1,OK,measured,PASS,tcp-loopback,167.275,100.294,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,232.547,6.301,238.535,6.301,5.987,279.857,68194304,68194304,68194304,136388608,2,128,256,64,16384,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:01.893487+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,16,0,0,OK,measured,PASS,tcp-loopback,170.071,100.826,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,235.369,9.697000000000001,244.785,9.697000000000001,9.416,290.01,68194304,68194304,68194304,136388608,2,128,256,64,16384,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:02.507935+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,16,-1,1,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:02.507973+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,16,0,0,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
