method,logN,m,metric,count,median,mean,stddev,min,max,p25,p75
VECTOR_PPRF,12,16,key_setup_wall_ms,1,74.63799999999999,74.63799999999999,0.0,74.63799999999999,74.63799999999999,74.63799999999999,74.63799999999999
VECTOR_PPRF,12,16,setup_communication_bytes,1,112384.0,112384.0,0.0,112384.0,112384.0,112384.0,112384.0
VECTOR_PPRF,12,16,total_cpu_work_ms,1,74.63799999999999,74.63799999999999,0.0,74.63799999999999,74.63799999999999,74.63799999999999,74.63799999999999
VECTOR_PPRF,12,32,key_setup_wall_ms,1,75.77499999999999,75.77499999999999,0.0,75.77499999999999,75.77499999999999,75.77499999999999,75.77499999999999
VECTOR_PPRF,12,32,setup_communication_bytes,1,177920.0,177920.0,0.0,177920.0,177920.0,177920.0,177920.0
VECTOR_PPRF,12,32,total_cpu_work_ms,1,75.77499999999999,75.77499999999999,0.0,75.77499999999999,75.77499999999999,75.77499999999999,75.77499999999999
VECTOR_PPRF,14,8,key_setup_wall_ms,1,99.676,99.676,0.0,99.676,99.676,99.676,99.676
VECTOR_PPRF,14,8,setup_communication_bytes,1,96512.0,96512.0,0.0,96512.0,96512.0,96512.0,96512.0
VECTOR_PPRF,14,8,total_cpu_work_ms,1,99.676,99.676,0.0,99.676,99.676,99.676,99.676
VECTOR_PPRF,14,16,key_setup_wall_ms,1,105.116,105.116,0.0,105.116,105.116,105.116,105.116
VECTOR_PPRF,14,16,setup_communication_bytes,1,129280.0,129280.0,0.0,129280.0,129280.0,129280.0,129280.0
VECTOR_PPRF,14,16,total_cpu_work_ms,1,105.116,105.116,0.0,105.116,105.116,105.116,105.116
VECTOR_PPRF,14,32,key_setup_wall_ms,1,112.758,112.758,0.0,112.758,112.758,112.758,112.758
VECTOR_PPRF,14,32,setup_communication_bytes,1,194816.0,194816.0,0.0,194816.0,194816.0,194816.0,194816.0
VECTOR_PPRF,14,32,total_cpu_work_ms,1,112.758,112.758,0.0,112.758,112.758,112.758,112.758
