method,logN,N,m,trial_index,pprf_instance_count,base_ot_protocol_invocations,pprf_base_ot_count
RM_VECTOR,16,65536,8,-1,2,2,1280
RM_VECTOR,16,65536,8,0,2,2,1280
RM_VECTOR,16,65536,8,1,2,2,1280
RM_VECTOR,16,65536,8,2,2,2,1280
RM_VECTOR,16,65536,8,3,2,2,1280
RM_VECTOR,16,65536,8,4,2,2,1280
RM_VECTOR,16,65536,8,5,2,2,1280
RM_VECTOR,16,65536,8,6,2,2,1280
RM_VECTOR,16,65536,8,7,2,2,1280
RM_VECTOR,16,65536,8,8,2,2,1280
RM_VECTOR,16,65536,8,9,2,2,1280
RM_COORD,16,65536,8,-1,16,16,10240
RM_COORD,16,65536,8,0,16,16,10240
RM_COORD,16,65536,8,1,16,16,10240
RM_COORD,16,65536,8,2,16,16,10240
RM_COORD,16,65536,8,3,16,16,10240
RM_COORD,16,65536,8,4,16,16,10240
RM_COORD,16,65536,8,5,16,16,10240
RM_COORD,16,65536,8,6,16,16,10240
RM_COORD,16,65536,8,7,16,16,10240
RM_COORD,16,65536,8,8,16,16,10240
RM_COORD,16,65536,8,9,16,16,10240
RM_VECTOR,16,65536,16,-1,2,2,1280
RM_VECTOR,16,65536,16,0,2,2,1280
RM_VECTOR,16,65536,16,1,2,2,1280
RM_VECTOR,16,65536,16,2,2,2,1280
RM_VECTOR,16,65536,16,3,2,2,1280
RM_VECTOR,16,65536,16,4,2,2,1280
RM_VECTOR,16,65536,16,5,2,2,1280
RM_VECTOR,16,65536,16,6,2,2,1280
RM_VECTOR,16,65536,16,7,2,2,1280
RM_VECTOR,16,65536,16,8,2,2,1280
RM_VECTOR,16,65536,16,9,2,2,1280
RM_COORD,16,65536,16,-1,32,32,20480
RM_COORD,16,65536,16,0,32,32,20480
RM_COORD,16,65536,16,1,32,32,20480
RM_COORD,16,65536,16,2,32,32,20480
RM_COORD,16,65536,16,3,32,32,20480
RM_COORD,16,65536,16,4,32,32,20480
RM_COORD,16,65536,16,5,32,32,20480
RM_COORD,16,65536,16,6,32,32,20480
RM_COORD,16,65536,16,7,32,32,20480
RM_COORD,16,65536,16,8,32,32,20480
RM_COORD,16,65536,16,9,32,32,20480
RM_VECTOR,16,65536,32,-1,2,2,1280
RM_VECTOR,16,65536,32,0,2,2,1280
RM_VECTOR,16,65536,32,1,2,2,1280
RM_VECTOR,16,65536,32,2,2,2,1280
RM_VECTOR,16,65536,32,3,2,2,1280
RM_VECTOR,16,65536,32,4,2,2,1280
RM_VECTOR,16,65536,32,5,2,2,1280
RM_VECTOR,16,65536,32,6,2,2,1280
RM_VECTOR,16,65536,32,7,2,2,1280
RM_VECTOR,16,65536,32,8,2,2,1280
RM_VECTOR,16,65536,32,9,2,2,1280
RM_COORD,16,65536,32,-1,64,64,40960
RM_COORD,16,65536,32,0,64,64,40960
RM_COORD,16,65536,32,1,64,64,40960
RM_COORD,16,65536,32,2,64,64,40960
RM_COORD,16,65536,32,3,64,64,40960
RM_COORD,16,65536,32,4,64,64,40960
RM_COORD,16,65536,32,5,64,64,40960
RM_COORD,16,65536,32,6,64,64,40960
RM_COORD,16,65536,32,7,64,64,40960
RM_COORD,16,65536,32,8,64,64,40960
RM_COORD,16,65536,32,9,64,64,40960
RM_VECTOR,18,262144,8,-1,2,2,1536
RM_VECTOR,18,262144,8,0,2,2,1536
RM_VECTOR,18,262144,8,1,2,2,1536
RM_VECTOR,18,262144,8,2,2,2,1536
RM_VECTOR,18,262144,8,3,2,2,1536
RM_VECTOR,18,262144,8,4,2,2,1536
RM_VECTOR,18,262144,8,5,2,2,1536
RM_VECTOR,18,262144,8,6,2,2,1536
RM_VECTOR,18,262144,8,7,2,2,1536
RM_VECTOR,18,262144,8,8,2,2,1536
RM_VECTOR,18,262144,8,9,2,2,1536
RM_COORD,18,262144,8,-1,16,16,12288
RM_COORD,18,262144,8,0,16,16,12288
RM_COORD,18,262144,8,1,16,16,12288
RM_COORD,18,262144,8,2,16,16,12288
RM_COORD,18,262144,8,3,16,16,12288
RM_COORD,18,262144,8,4,16,16,12288
RM_COORD,18,262144,8,5,16,16,12288
RM_COORD,18,262144,8,6,16,16,12288
RM_COORD,18,262144,8,7,16,16,12288
RM_COORD,18,262144,8,8,16,16,12288
RM_COORD,18,262144,8,9,16,16,12288
RM_VECTOR,18,262144,16,-1,2,2,1536
RM_VECTOR,18,262144,16,0,2,2,1536
RM_VECTOR,18,262144,16,1,2,2,1536
RM_VECTOR,18,262144,16,2,2,2,1536
RM_VECTOR,18,262144,16,3,2,2,1536
RM_VECTOR,18,262144,16,4,2,2,1536
RM_VECTOR,18,262144,16,5,2,2,1536
RM_VECTOR,18,262144,16,6,2,2,1536
RM_VECTOR,18,262144,16,7,2,2,1536
RM_VECTOR,18,262144,16,8,2,2,1536
RM_VECTOR,18,262144,16,9,2,2,1536
RM_COORD,18,262144,16,-1,32,32,24576
RM_COORD,18,262144,16,0,32,32,24576
RM_COORD,18,262144,16,1,32,32,24576
RM_COORD,18,262144,16,2,32,32,24576
RM_COORD,18,262144,16,3,32,32,24576
RM_COORD,18,262144,16,4,32,32,24576
RM_COORD,18,262144,16,5,32,32,24576
RM_COORD,18,262144,16,6,32,32,24576
RM_COORD,18,262144,16,7,32,32,24576
RM_COORD,18,262144,16,8,32,32,24576
RM_COORD,18,262144,16,9,32,32,24576
RM_VECTOR,18,262144,32,-1,2,2,1536
RM_VECTOR,18,262144,32,0,2,2,1536
RM_VECTOR,18,262144,32,1,2,2,1536
RM_VECTOR,18,262144,32,2,2,2,1536
RM_VECTOR,18,262144,32,3,2,2,1536
RM_VECTOR,18,262144,32,4,2,2,1536
RM_VECTOR,18,262144,32,5,2,2,1536
RM_VECTOR,18,262144,32,6,2,2,1536
RM_VECTOR,18,262144,32,7,2,2,1536
RM_VECTOR,18,262144,32,8,2,2,1536
RM_VECTOR,18,262144,32,9,2,2,1536
RM_COORD,18,262144,32,-1,64,64,49152
RM_COORD,18,262144,32,0,64,64,49152
RM_COORD,18,262144,32,1,64,64,49152
RM_COORD,18,262144,32,2,64,64,49152
RM_COORD,18,262144,32,3,64,64,49152
RM_COORD,18,262144,32,4,64,64,49152
RM_COORD,18,262144,32,5,64,64,49152
RM_COORD,18,262144,32,6,64,64,49152
RM_COORD,18,262144,32,7,64,64,49152
RM_COORD,18,262144,32,8,64,64,49152
RM_COORD,18,262144,32,9,64,64,49152
RM_VECTOR,20,1048576,8,-1,2,2,1792
RM_VECTOR,20,1048576,8,0,2,2,1792
RM_VECTOR,20,1048576,8,1,2,2,1792
RM_VECTOR,20,1048576,8,2,2,2,1792
RM_VECTOR,20,1048576,8,3,2,2,1792
RM_VECTOR,20,1048576,8,4,2,2,1792
RM_VECTOR,20,1048576,8,5,2,2,1792
RM_VECTOR,20,1048576,8,6,2,2,1792
RM_VECTOR,20,1048576,8,7,2,2,1792
RM_VECTOR,20,1048576,8,8,2,2,1792
RM_VECTOR,20,1048576,8,9,2,2,1792
RM_COORD,20,1048576,8,-1,16,16,14336
RM_COORD,20,1048576,8,0,16,16,14336
RM_COORD,20,1048576,8,1,16,16,14336
RM_COORD,20,1048576,8,2,16,16,14336
RM_COORD,20,1048576,8,3,16,16,14336
RM_COORD,20,1048576,8,4,16,16,14336
RM_COORD,20,1048576,8,5,16,16,14336
RM_COORD,20,1048576,8,6,16,16,14336
RM_COORD,20,1048576,8,7,16,16,14336
RM_COORD,20,1048576,8,8,16,16,14336
RM_COORD,20,1048576,8,9,16,16,14336
RM_VECTOR,20,1048576,16,-1,2,2,1792
RM_VECTOR,20,1048576,16,0,2,2,1792
RM_VECTOR,20,1048576,16,1,2,2,1792
RM_VECTOR,20,1048576,16,2,2,2,1792
RM_VECTOR,20,1048576,16,3,2,2,1792
RM_VECTOR,20,1048576,16,4,2,2,1792
RM_VECTOR,20,1048576,16,5,2,2,1792
RM_VECTOR,20,1048576,16,6,2,2,1792
RM_VECTOR,20,1048576,16,7,2,2,1792
RM_VECTOR,20,1048576,16,8,2,2,1792
RM_VECTOR,20,1048576,16,9,2,2,1792
RM_COORD,20,1048576,16,-1,32,32,28672
RM_COORD,20,1048576,16,0,32,32,28672
RM_COORD,20,1048576,16,1,32,32,28672
RM_COORD,20,1048576,16,2,32,32,28672
RM_COORD,20,1048576,16,3,32,32,28672
RM_COORD,20,1048576,16,4,32,32,28672
RM_COORD,20,1048576,16,5,32,32,28672
RM_COORD,20,1048576,16,6,32,32,28672
RM_COORD,20,1048576,16,7,32,32,28672
RM_COORD,20,1048576,16,8,32,32,28672
RM_COORD,20,1048576,16,9,32,32,28672
RM_VECTOR,20,1048576,32,-1,2,2,1792
RM_VECTOR,20,1048576,32,0,2,2,1792
RM_VECTOR,20,1048576,32,1,2,2,1792
RM_VECTOR,20,1048576,32,2,2,2,1792
RM_VECTOR,20,1048576,32,3,2,2,1792
RM_VECTOR,20,1048576,32,4,2,2,1792
RM_VECTOR,20,1048576,32,5,2,2,1792
RM_VECTOR,20,1048576,32,6,2,2,1792
RM_VECTOR,20,1048576,32,7,2,2,1792
RM_VECTOR,20,1048576,32,8,2,2,1792
RM_VECTOR,20,1048576,32,9,2,2,1792
RM_COORD,20,1048576,32,-1,64,64,57344
RM_COORD,20,1048576,32,0,64,64,57344
RM_COORD,20,1048576,32,1,64,64,57344
RM_COORD,20,1048576,32,2,64,64,57344
RM_COORD,20,1048576,32,3,64,64,57344
RM_COORD,20,1048576,32,4,64,64,57344
RM_COORD,20,1048576,32,5,64,64,57344
RM_COORD,20,1048576,32,6,64,64,57344
RM_COORD,20,1048576,32,7,64,64,57344
RM_COORD,20,1048576,32,8,64,64,57344
RM_COORD,20,1048576,32,9,64,64,57344
