timestamp,benchmark_source_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,c,logN,N,t,domainSize,m,trial_index,warmup,status,data_source,correctness,check,result,vector_pprf_instances,coordinate_pprf_instances,split_input_noisy_svole_length,same_sampled_instance,notes
2026-07-23T08:58:38.948643+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,18,262144,64,4096,16,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,32,128,1,RMVOLE_PAIRED_CORRECTNESS logN=18 N=262144 t=64 m=16 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=32 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:43.260261+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,18,262144,64,4096,32,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,64,128,1,RMVOLE_PAIRED_CORRECTNESS logN=18 N=262144 t=64 m=32 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=64 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:51.773997+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,20,1048576,64,16384,8,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,16,128,1,RMVOLE_PAIRED_CORRECTNESS logN=20 N=1048576 t=64 m=8 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=16 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:56.799463+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,20,1048576,64,16384,16,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,32,128,1,RMVOLE_PAIRED_CORRECTNESS logN=20 N=1048576 t=64 m=16 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=32 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:59:06.061235+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,20,1048576,64,16384,32,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,64,128,1,RMVOLE_PAIRED_CORRECTNESS logN=20 N=1048576 t=64 m=32 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=64 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-24T02:36:10.360133+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,12,4096,,,8,,,OK,measured,,,PASS,,,,,TCP two-process correctness; x=c; Z0=a; Z1=-b
2026-07-24T02:36:26.571016+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,12,4096,,,16,,,OK,measured,,,PASS,,,,,TCP two-process correctness; x=c; Z0=a; Z1=-b
2026-07-24T02:37:19.167663+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,12,4096,,,32,,,OK,measured,,,PASS,,,,,TCP two-process correctness; x=c; Z0=a; Z1=-b
2026-07-24T02:38:24.219320+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,14,16384,,,8,,,OK,measured,,,PASS,,,,,TCP two-process correctness; x=c; Z0=a; Z1=-b
2026-07-24T02:39:22.547460+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,14,16384,,,16,,,OK,measured,,,PASS,,,,,TCP two-process correctness; x=c; Z0=a; Z1=-b
