method,base_ot_mode,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
COORDINATE_PPRF,INCLUDING_OT,18,16,key_setup_wall_ms,10,2493.4415,2481.083,22.264401182156263,2464.5295,2496.1507500000002,2445.5209999999997,2505.036
COORDINATE_PPRF,INCLUDING_OT,18,16,pprf_only_time_ms,10,2493.4415,2481.083,22.264401182156263,2464.5295,2496.1507500000002,2445.5209999999997,2505.036
COORDINATE_PPRF,INCLUDING_OT,18,16,pprf_setup_bytes,10,1625392.0,1625392.0,0.0,1625392.0,1625392.0,1625392.0,1625392.0
COORDINATE_PPRF,INCLUDING_OT,18,16,total_comm_bytes,10,1625392.0,1625392.0,0.0,1625392.0,1625392.0,1625392.0,1625392.0
COORDINATE_PPRF,INCLUDING_OT,18,32,key_setup_wall_ms,10,4937.266,4944.7880000000005,44.311205094071745,4903.8105000000005,4987.0827500000005,4893.377,5000.705
COORDINATE_PPRF,INCLUDING_OT,18,32,pprf_only_time_ms,10,4937.266,4944.7880000000005,44.311205094071745,4903.8105000000005,4987.0827500000005,4893.377,5000.705
COORDINATE_PPRF,INCLUDING_OT,18,32,pprf_setup_bytes,10,3250736.0,3250736.0,0.0,3250736.0,3250736.0,3250736.0,3250736.0
COORDINATE_PPRF,INCLUDING_OT,18,32,total_comm_bytes,10,3250736.0,3250736.0,0.0,3250736.0,3250736.0,3250736.0,3250736.0
COORDINATE_PPRF,INCLUDING_OT,20,8,key_setup_wall_ms,10,1763.039,1756.1207,15.369098520877632,1740.1755,1768.8367500000002,1733.354,1771.385
COORDINATE_PPRF,INCLUDING_OT,20,8,pprf_only_time_ms,10,1763.039,1756.1207,15.369098520877632,1740.1755,1768.8367500000002,1733.354,1771.385
COORDINATE_PPRF,INCLUDING_OT,20,8,pprf_setup_bytes,10,947888.0,947888.0,0.0,947888.0,947888.0,947888.0,947888.0
COORDINATE_PPRF,INCLUDING_OT,20,8,total_comm_bytes,10,947888.0,947888.0,0.0,947888.0,947888.0,947888.0,947888.0
COORDINATE_PPRF,INCLUDING_OT,20,16,key_setup_wall_ms,10,3497.474,3504.223,36.22460149615941,3471.577,3538.42875,3464.277,3553.163
COORDINATE_PPRF,INCLUDING_OT,20,16,pprf_only_time_ms,10,3497.474,3504.223,36.22460149615941,3471.577,3538.42875,3464.277,3553.163
COORDINATE_PPRF,INCLUDING_OT,20,16,pprf_setup_bytes,10,1895728.0,1895728.0,0.0,1895728.0,1895728.0,1895728.0,1895728.0
COORDINATE_PPRF,INCLUDING_OT,20,16,total_comm_bytes,10,1895728.0,1895728.0,0.0,1895728.0,1895728.0,1895728.0,1895728.0
COORDINATE_PPRF,INCLUDING_OT,20,32,key_setup_wall_ms,10,6993.8385,6989.2825,64.09042185546231,6943.4015,7038.80975,6889.501,7076.034
COORDINATE_PPRF,INCLUDING_OT,20,32,pprf_only_time_ms,10,6993.8385,6989.2825,64.09042185546231,6943.4015,7038.80975,6889.501,7076.034
COORDINATE_PPRF,INCLUDING_OT,20,32,pprf_setup_bytes,10,3791408.0,3791408.0,0.0,3791408.0,3791408.0,3791408.0,3791408.0
COORDINATE_PPRF,INCLUDING_OT,20,32,total_comm_bytes,10,3791408.0,3791408.0,0.0,3791408.0,3791408.0,3791408.0,3791408.0
