timestamp,benchmark_source_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,c,logN,N,t,domainSize,m,trial_index,warmup,status,data_source,correctness,pprf_instance_count,consumed_ot_count,base_ot_protocol_invocations,ot_generation_time_ms,ot_communication_bytes,pprf_only_time_ms,key_setup_wall_ms,pprf_setup_bytes,pprf_payload_bytes,total_comm_bytes,p0_peak_rss_bytes,p1_peak_rss_bytes,notes
2026-07-23T08:50:30.043267+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,1,0,OK,measured,PASS,16,16,16,0.0,included_in_pprf_setup_bytes,578.5989999999999,578.5989999999999,407216,407216,407216,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:30.627685+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,2,0,OK,measured,PASS,16,16,16,0.0,included_in_pprf_setup_bytes,580.1610000000001,580.1610000000001,407216,407216,407216,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:31.213654+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,3,0,OK,measured,PASS,16,16,16,0.0,included_in_pprf_setup_bytes,579.109,579.109,407216,407216,407216,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:31.799325+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,4,0,OK,measured,PASS,16,16,16,0.0,included_in_pprf_setup_bytes,578.326,578.326,407216,407216,407216,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:32.383933+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,5,0,OK,measured,PASS,16,16,16,0.0,included_in_pprf_setup_bytes,569.601,569.601,407216,407216,407216,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:32.959210+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,6,0,OK,measured,PASS,16,16,16,0.0,included_in_pprf_setup_bytes,574.112,574.112,407216,407216,407216,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:33.538825+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,7,0,OK,measured,PASS,16,16,16,0.0,included_in_pprf_setup_bytes,577.7090000000001,577.7090000000001,407216,407216,407216,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:34.122472+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,8,0,OK,measured,PASS,16,16,16,0.0,included_in_pprf_setup_bytes,574.824,574.824,407216,407216,407216,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:34.704228+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,9,0,OK,measured,PASS,16,16,16,0.0,included_in_pprf_setup_bytes,570.172,570.172,407216,407216,407216,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:35.280951+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,-1,1,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,73.409,73.409,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
