method,party,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
RM_COORD,P1,18,32,expand_cpu_work_ms,10,639.9705,639.3099,2.3764251139520742,638.153,640.3,633.988,642.3489999999999
RM_COORD,P1,20,8,expand_total_ms,10,320.4005,320.8048,2.9022283316253406,319.003,321.5675,317.714,327.21299999999997
RM_COORD,P1,20,8,expand_latency_ms,10,339.84749999999997,340.2813,1.8224735968213865,338.8555,341.72125,338.175,343.457
RM_COORD,P1,20,8,expand_cpu_work_ms,10,660.528,661.0861,4.030794502603925,658.049,664.67675,655.889,666.815
RM_COORD,P1,20,16,expand_total_ms,10,676.4195,676.8348,3.93574792553252,673.24125,679.0885000000001,672.3059999999999,683.009
RM_COORD,P1,20,16,expand_latency_ms,10,690.733,690.4654,3.1511479107708618,687.88,691.2145,686.466,695.451
RM_COORD,P1,20,16,expand_cpu_work_ms,10,1367.1525,1367.3002,6.790928880990255,1361.1927499999997,1369.6695,1359.62,1378.46
RM_COORD,P1,20,32,expand_total_ms,10,1420.008,1426.6038,26.527712536138463,1417.961,1432.2915,1396.548,1492.5839999999998
RM_COORD,P1,20,32,expand_latency_ms,10,1443.4995,1454.3014,31.641761968779303,1437.87525,1449.0965,1435.792,1539.3509999999999
RM_COORD,P1,20,32,expand_cpu_work_ms,10,2865.643,2880.9052,56.84236665023708,2854.20075,2874.012,2832.675,3031.9349999999995
RM_VECTOR,P0,12,8,expand_total_ms,10,0.7185,0.7276,0.02258908290893336,0.71425,0.7425,0.6980000000000001,0.7739999999999999
RM_VECTOR,P0,12,8,expand_latency_ms,10,0.743,0.7427,0.014598706183159579,0.7387500000000001,0.7465,0.716,0.7739999999999999
RM_VECTOR,P0,12,8,expand_cpu_work_ms,10,1.4625,1.4685,0.034017152536134784,1.4525,1.4825,1.4140000000000001,1.5419999999999998
RM_VECTOR,P0,12,16,expand_total_ms,10,1.4115000000000002,1.4199000000000002,0.025536248745655587,1.4042500000000002,1.4145,1.4020000000000001,1.478
RM_VECTOR,P0,12,16,expand_latency_ms,10,1.4115000000000002,1.4199000000000002,0.025536248745655587,1.4042500000000002,1.4145,1.4020000000000001,1.478
RM_VECTOR,P0,12,16,expand_cpu_work_ms,10,2.8065,2.8144,0.02978515663137514,2.7932500000000005,2.8240000000000003,2.7830000000000004,2.88
RM_VECTOR,P0,12,32,expand_total_ms,10,2.833,2.8259,0.015912608557716437,2.8145,2.8347499999999997,2.794,2.8449999999999998
RM_VECTOR,P0,12,32,expand_latency_ms,10,2.833,2.8259,0.015912608557716437,2.8145,2.8347499999999997,2.794,2.8449999999999998
RM_VECTOR,P0,12,32,expand_cpu_work_ms,10,5.597,5.595,0.02855015080715169,5.574,5.6075,5.556,5.651
RM_VECTOR,P0,14,8,expand_total_ms,10,3.3005000000000004,3.3098,0.057447173801482974,3.27,3.321,3.2529999999999997,3.4520000000000004
RM_VECTOR,P0,14,8,expand_latency_ms,10,3.3005000000000004,3.3098,0.057447173801482974,3.27,3.321,3.2529999999999997,3.4520000000000004
RM_VECTOR,P0,14,8,expand_cpu_work_ms,10,6.329000000000001,6.3471,0.06717878302625692,6.2915,6.375500000000001,6.285,6.49
RM_VECTOR,P0,14,16,expand_total_ms,10,6.301,6.3003,0.013081369279331035,6.291,6.30825,6.276999999999999,6.321000000000001
RM_VECTOR,P0,14,16,expand_latency_ms,10,6.301,6.3003,0.013081369279331035,6.291,6.30825,6.276999999999999,6.321000000000001
RM_VECTOR,P0,14,16,expand_cpu_work_ms,10,12.2745,12.2878,0.050631127887013565,12.26025,12.2885,12.253,12.425
RM_VECTOR,P0,14,32,expand_total_ms,10,12.359,12.3651,0.03266819724305448,12.338750000000001,12.3785,12.33,12.42
RM_VECTOR,P0,14,32,expand_latency_ms,10,12.359,12.3651,0.03266819724305448,12.338750000000001,12.3785,12.33,12.42
RM_VECTOR,P0,14,32,expand_cpu_work_ms,10,24.5075,24.519199999999998,0.04523469661418998,24.49275,24.528750000000002,24.47,24.631
RM_VECTOR,P0,16,8,expand_total_ms,10,13.921,14.015,0.2857259759513183,13.856750000000002,14.017,13.731,14.622
RM_VECTOR,P0,16,8,expand_latency_ms,10,13.921,14.015,0.2857259759513183,13.856750000000002,14.017,13.731,14.622
RM_VECTOR,P0,16,8,expand_cpu_work_ms,10,26.968500000000002,27.0634,0.4075090183051171,26.86325,27.01425,26.619999999999997,27.998
RM_VECTOR,P0,16,16,expand_total_ms,10,26.725499999999997,26.7503,0.10989798299635235,26.671,26.79125,26.610000000000003,26.955
RM_VECTOR,P0,16,16,expand_latency_ms,10,26.725499999999997,26.7503,0.10989798299635235,26.671,26.79125,26.610000000000003,26.955
RM_VECTOR,P0,16,16,expand_cpu_work_ms,10,52.465999999999994,52.5119,0.19893351764960052,52.3845,52.61775,52.247,52.913
RM_VECTOR,P0,16,32,expand_total_ms,10,53.019000000000005,53.1305,0.2758555378776681,52.927749999999996,53.32525,52.839999999999996,53.662
RM_VECTOR,P0,16,32,expand_latency_ms,10,53.019000000000005,53.1305,0.2758555378776681,52.927749999999996,53.32525,52.839999999999996,53.662
RM_VECTOR,P0,16,32,expand_cpu_work_ms,10,105.332,105.377,0.4746910106117015,104.995,105.70275,104.79899999999999,106.292
RM_VECTOR,P0,18,8,expand_total_ms,10,70.8375,70.7492,0.2641021687823798,70.5815,70.89975000000001,70.241,71.09100000000001
RM_VECTOR,P0,18,8,expand_latency_ms,10,70.8375,70.7492,0.2641021687823798,70.5815,70.89975000000001,70.241,71.09100000000001
RM_VECTOR,P0,18,8,expand_cpu_work_ms,10,136.37199999999999,136.1278,0.4898439207203334,135.6685,136.44425,135.409,136.672
RM_VECTOR,P0,18,16,expand_total_ms,10,150.462,150.47729999999999,0.4158602997268352,150.21925,150.669,149.778,151.31300000000002
RM_VECTOR,P0,18,16,expand_latency_ms,10,150.462,150.47729999999999,0.4158602997268352,150.21925,150.669,149.778,151.31300000000002
RM_VECTOR,P0,18,16,expand_cpu_work_ms,10,295.077,295.1019,0.8813181352698775,294.55449999999996,295.70125,293.682,296.48400000000004
RM_VECTOR,P0,18,32,expand_total_ms,10,294.577,294.6356,0.7427809906021906,294.14500000000004,295.08975,293.598,295.94599999999997
RM_VECTOR,P0,18,32,expand_latency_ms,10,294.577,294.6356,0.7427809906021906,294.14500000000004,295.08975,293.598,295.94599999999997
RM_VECTOR,P0,18,32,expand_cpu_work_ms,10,584.1155000000001,584.5721,1.4655723531174236,583.64425,585.7665,582.4100000000001,587.074
RM_VECTOR,P0,20,8,expand_total_ms,10,338.58050000000003,338.7959,1.1236252291380562,338.1625,339.25575,337.399,341.09299999999996
RM_VECTOR,P0,20,8,expand_latency_ms,10,338.58050000000003,338.7959,1.1236252291380562,338.1625,339.25575,337.399,341.09299999999996
RM_VECTOR,P0,20,8,expand_cpu_work_ms,10,655.2525,655.7608,2.6423819557361625,653.9337499999999,656.9794999999999,651.892,659.905
RM_VECTOR,P0,20,16,expand_total_ms,10,693.793,694.3417,3.0835837754145774,692.4555,696.1179999999999,689.8689999999999,700.6949999999999
RM_VECTOR,P0,20,16,expand_latency_ms,10,693.793,694.3417,3.0835837754145774,692.4555,696.1179999999999,689.8689999999999,700.6949999999999
RM_VECTOR,P0,20,16,expand_cpu_work_ms,10,1372.8700000000001,1374.0344,5.199007302681293,1371.5125,1375.357,1367.6909999999998,1385.849
RM_VECTOR,P0,20,32,expand_total_ms,10,1456.3094999999998,1456.7585,4.979869794147918,1453.3555000000001,1460.18975,1449.503,1464.371
RM_VECTOR,P0,20,32,expand_latency_ms,10,1459.7725,1461.0102,7.159984959636552,1455.51125,1464.02875,1453.035,1476.368
RM_VECTOR,P0,20,32,expand_cpu_work_ms,10,2905.575,2908.4653,12.684828979270106,2901.396,2915.3502500000004,2887.491,2933.872
RM_VECTOR,P1,12,8,expand_total_ms,10,0.742,0.7409,0.012939603291188395,0.7382500000000001,0.7444999999999999,0.716,0.768
RM_VECTOR,P1,12,8,expand_latency_ms,10,0.743,0.7427,0.014598706183159579,0.7387500000000001,0.7465,0.716,0.7739999999999999
RM_VECTOR,P1,12,8,expand_cpu_work_ms,10,1.4625,1.4685,0.034017152536134784,1.4525,1.4825,1.4140000000000001,1.5419999999999998
RM_VECTOR,P1,12,16,expand_total_ms,10,1.3904999999999998,1.3945,0.011197718021493904,1.38825,1.4035000000000002,1.38,1.41
RM_VECTOR,P1,12,16,expand_latency_ms,10,1.4115000000000002,1.4199000000000002,0.025536248745655587,1.4042500000000002,1.4145,1.4020000000000001,1.478
RM_VECTOR,P1,12,16,expand_cpu_work_ms,10,2.8065,2.8144,0.02978515663137514,2.7932500000000005,2.8240000000000003,2.7830000000000004,2.88
RM_VECTOR,P1,12,32,expand_total_ms,10,2.768,2.7691,0.016394104631441895,2.7597500000000004,2.7744999999999997,2.745,2.806
RM_VECTOR,P1,12,32,expand_latency_ms,10,2.833,2.8259,0.015912608557716437,2.8145,2.8347499999999997,2.794,2.8449999999999998
RM_VECTOR,P1,12,32,expand_cpu_work_ms,10,5.597,5.595,0.02855015080715169,5.574,5.6075,5.556,5.651
RM_VECTOR,P1,14,8,expand_total_ms,10,3.033,3.0373,0.018779717191102156,3.0272500000000004,3.04025,3.016,3.078
RM_VECTOR,P1,14,8,expand_latency_ms,10,3.3005000000000004,3.3098,0.057447173801482974,3.27,3.321,3.2529999999999997,3.4520000000000004
RM_VECTOR,P1,14,8,expand_cpu_work_ms,10,6.329000000000001,6.3471,0.06717878302625692,6.2915,6.375500000000001,6.285,6.49
RM_VECTOR,P1,14,16,expand_total_ms,10,5.9735,5.9875,0.04708915893163641,5.9685,5.979,5.959,6.119000000000001
RM_VECTOR,P1,14,16,expand_latency_ms,10,6.301,6.3003,0.013081369279331035,6.291,6.30825,6.276999999999999,6.321000000000001
RM_VECTOR,P1,14,16,expand_cpu_work_ms,10,12.2745,12.2878,0.050631127887013565,12.26025,12.2885,12.253,12.425
RM_VECTOR,P1,14,32,expand_total_ms,10,12.1555,12.1541,0.025435976271589764,12.134500000000001,12.163,12.128,12.213999999999999
RM_VECTOR,P1,14,32,expand_latency_ms,10,12.359,12.3651,0.03266819724305448,12.338750000000001,12.3785,12.33,12.42
RM_VECTOR,P1,14,32,expand_cpu_work_ms,10,24.5075,24.519199999999998,0.04523469661418998,24.49275,24.528750000000002,24.47,24.631
RM_VECTOR,P1,16,8,expand_total_ms,10,12.985,13.048399999999999,0.20903173602749153,12.93075,13.069749999999999,12.876999999999999,13.575000000000001
RM_VECTOR,P1,16,8,expand_latency_ms,10,13.921,14.015,0.2857259759513183,13.856750000000002,14.017,13.731,14.622
RM_VECTOR,P1,16,8,expand_cpu_work_ms,10,26.968500000000002,27.0634,0.4075090183051171,26.86325,27.01425,26.619999999999997,27.998
RM_VECTOR,P1,16,16,expand_total_ms,10,25.756,25.7616,0.11450395432279,25.681250000000002,25.771499999999996,25.637,26.018
RM_VECTOR,P1,16,16,expand_latency_ms,10,26.725499999999997,26.7503,0.10989798299635235,26.671,26.79125,26.610000000000003,26.955
RM_VECTOR,P1,16,16,expand_cpu_work_ms,10,52.465999999999994,52.5119,0.19893351764960052,52.3845,52.61775,52.247,52.913
RM_VECTOR,P1,16,32,expand_total_ms,10,52.290499999999994,52.2465,0.21375752098529377,52.06125,52.37025,51.958999999999996,52.63
RM_VECTOR,P1,16,32,expand_latency_ms,10,53.019000000000005,53.1305,0.2758555378776681,52.927749999999996,53.32525,52.839999999999996,53.662
RM_VECTOR,P1,16,32,expand_cpu_work_ms,10,105.332,105.377,0.4746910106117015,104.995,105.70275,104.79899999999999,106.292
RM_VECTOR,P1,18,8,expand_total_ms,10,65.434,65.3786,0.31912978899222466,65.14475,65.58525,64.917,65.812
RM_VECTOR,P1,18,8,expand_latency_ms,10,70.8375,70.7492,0.2641021687823798,70.5815,70.89975000000001,70.241,71.09100000000001
RM_VECTOR,P1,18,8,expand_cpu_work_ms,10,136.37199999999999,136.1278,0.4898439207203334,135.6685,136.44425,135.409,136.672
RM_VECTOR,P1,18,16,expand_total_ms,10,144.683,144.6246,0.5495451048114455,144.17725,145.11675,143.904,145.283
RM_VECTOR,P1,18,16,expand_latency_ms,10,150.462,150.47729999999999,0.4158602997268352,150.21925,150.669,149.778,151.31300000000002
RM_VECTOR,P1,18,16,expand_cpu_work_ms,10,295.077,295.1019,0.8813181352698775,294.55449999999996,295.70125,293.682,296.48400000000004
RM_VECTOR,P1,18,32,expand_total_ms,10,289.62850000000003,289.9365,0.7801540090121795,289.4945,290.49800000000005,288.812,291.128
RM_VECTOR,P1,18,32,expand_latency_ms,10,294.577,294.6356,0.7427809906021906,294.14500000000004,295.08975,293.598,295.94599999999997
RM_VECTOR,P1,18,32,expand_cpu_work_ms,10,584.1155000000001,584.5721,1.4655723531174236,583.64425,585.7665,582.4100000000001,587.074
RM_VECTOR,P1,20,8,expand_total_ms,10,316.631,316.9649,1.6400505717135019,315.94500000000005,317.93475,314.493,319.83
RM_VECTOR,P1,20,8,expand_latency_ms,10,338.58050000000003,338.7959,1.1236252291380562,338.1625,339.25575,337.399,341.09299999999996
RM_VECTOR,P1,20,8,expand_cpu_work_ms,10,655.2525,655.7608,2.6423819557361625,653.9337499999999,656.9794999999999,651.892,659.905
RM_VECTOR,P1,20,16,expand_total_ms,10,679.013,679.6927000000001,2.496478054735867,678.002,680.80925,676.75,685.154
RM_VECTOR,P1,20,16,expand_latency_ms,10,693.793,694.3417,3.0835837754145774,692.4555,696.1179999999999,689.8689999999999,700.6949999999999
RM_VECTOR,P1,20,16,expand_cpu_work_ms,10,1372.8700000000001,1374.0344,5.199007302681293,1371.5125,1375.357,1367.6909999999998,1385.849
RM_VECTOR,P1,20,32,expand_total_ms,10,1449.404,1451.7068,13.2971179483876,1442.94175,1457.1845,1432.3760000000002,1476.368
RM_VECTOR,P1,20,32,expand_latency_ms,10,1459.7725,1461.0102,7.159984959636552,1455.51125,1464.02875,1453.035,1476.368
RM_VECTOR,P1,20,32,expand_cpu_work_ms,10,2905.575,2908.4653,12.684828979270106,2901.396,2915.3502500000004,2887.491,2933.872
