method,base_ot_mode,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
COORDINATE_PPRF,PREPROCESSED_OT,18,8,pprf_setup_bytes,10,812720.0,812720.0,0.0,812720.0,812720.0,812720.0,812720.0
COORDINATE_PPRF,PREPROCESSED_OT,18,8,total_comm_bytes,10,812720.0,812720.0,0.0,812720.0,812720.0,812720.0,812720.0
COORDINATE_PPRF,PREPROCESSED_OT,18,16,key_setup_wall_ms,10,2475.959,2474.3288,15.086223176571881,2460.2577499999998,2488.562,2454.75,2491.741
COORDINATE_PPRF,PREPROCESSED_OT,18,16,pprf_only_time_ms,10,2475.959,2474.3288,15.086223176571881,2460.2577499999998,2488.562,2454.75,2491.741
COORDINATE_PPRF,PREPROCESSED_OT,18,16,pprf_setup_bytes,10,1625392.0,1625392.0,0.0,1625392.0,1625392.0,1625392.0,1625392.0
COORDINATE_PPRF,PREPROCESSED_OT,18,16,total_comm_bytes,10,1625392.0,1625392.0,0.0,1625392.0,1625392.0,1625392.0,1625392.0
COORDINATE_PPRF,PREPROCESSED_OT,18,32,key_setup_wall_ms,10,4911.632,4924.2886,30.11991945983037,4902.778249999999,4940.9255,4889.876,4975.023
COORDINATE_PPRF,PREPROCESSED_OT,18,32,pprf_only_time_ms,10,4911.632,4924.2886,30.11991945983037,4902.778249999999,4940.9255,4889.876,4975.023
COORDINATE_PPRF,PREPROCESSED_OT,18,32,pprf_setup_bytes,10,3250736.0,3250736.0,0.0,3250736.0,3250736.0,3250736.0,3250736.0
COORDINATE_PPRF,PREPROCESSED_OT,18,32,total_comm_bytes,10,3250736.0,3250736.0,0.0,3250736.0,3250736.0,3250736.0,3250736.0
COORDINATE_PPRF,PREPROCESSED_OT,20,8,key_setup_wall_ms,10,1738.9055,1738.9676,13.370468912245858,1726.75475,1751.13525,1723.084,1756.4299999999998
COORDINATE_PPRF,PREPROCESSED_OT,20,8,pprf_only_time_ms,10,1738.9055,1738.9676,13.370468912245858,1726.75475,1751.13525,1723.084,1756.4299999999998
COORDINATE_PPRF,PREPROCESSED_OT,20,8,pprf_setup_bytes,10,947888.0,947888.0,0.0,947888.0,947888.0,947888.0,947888.0
COORDINATE_PPRF,PREPROCESSED_OT,20,8,total_comm_bytes,10,947888.0,947888.0,0.0,947888.0,947888.0,947888.0,947888.0
COORDINATE_PPRF,PREPROCESSED_OT,20,16,key_setup_wall_ms,10,3502.7635,3509.9049,28.682158025310514,3489.59375,3529.5792500000002,3473.3450000000003,3560.37
COORDINATE_PPRF,PREPROCESSED_OT,20,16,pprf_only_time_ms,10,3502.7635,3509.9049,28.682158025310514,3489.59375,3529.5792500000002,3473.3450000000003,3560.37
COORDINATE_PPRF,PREPROCESSED_OT,20,16,pprf_setup_bytes,10,1895728.0,1895728.0,0.0,1895728.0,1895728.0,1895728.0,1895728.0
COORDINATE_PPRF,PREPROCESSED_OT,20,16,total_comm_bytes,10,1895728.0,1895728.0,0.0,1895728.0,1895728.0,1895728.0,1895728.0
COORDINATE_PPRF,PREPROCESSED_OT,20,32,key_setup_wall_ms,10,6993.683,6996.7423,47.50944364381092,6958.824,7027.0145,6929.037,7068.456
COORDINATE_PPRF,PREPROCESSED_OT,20,32,pprf_only_time_ms,10,6993.683,6996.7423,47.50944364381092,6958.824,7027.0145,6929.037,7068.456
COORDINATE_PPRF,PREPROCESSED_OT,20,32,pprf_setup_bytes,10,3791408.0,3791408.0,0.0,3791408.0,3791408.0,3791408.0,3791408.0
COORDINATE_PPRF,PREPROCESSED_OT,20,32,total_comm_bytes,10,3791408.0,3791408.0,0.0,3791408.0,3791408.0,3791408.0,3791408.0
VECTOR_PPRF,PREPROCESSED_OT,12,8,key_setup_wall_ms,10,73.6975,73.6147,0.6089969987154632,73.0695,74.02175,72.824,74.41799999999999
VECTOR_PPRF,PREPROCESSED_OT,12,8,pprf_only_time_ms,10,73.6975,73.6147,0.6089969987154632,73.0695,74.02175,72.824,74.41799999999999
VECTOR_PPRF,PREPROCESSED_OT,12,8,pprf_setup_bytes,10,79616.0,79616.0,0.0,79616.0,79616.0,79616.0,79616.0
VECTOR_PPRF,PREPROCESSED_OT,12,8,total_comm_bytes,10,79616.0,79616.0,0.0,79616.0,79616.0,79616.0,79616.0
VECTOR_PPRF,PREPROCESSED_OT,12,16,key_setup_wall_ms,10,74.295,74.057,0.567192892918961,73.52025,74.5,73.27,74.751
VECTOR_PPRF,PREPROCESSED_OT,12,16,pprf_only_time_ms,10,74.295,74.057,0.567192892918961,73.52025,74.5,73.27,74.751
VECTOR_PPRF,PREPROCESSED_OT,12,16,pprf_setup_bytes,10,112384.0,112384.0,0.0,112384.0,112384.0,112384.0,112384.0
VECTOR_PPRF,PREPROCESSED_OT,12,16,total_comm_bytes,10,112384.0,112384.0,0.0,112384.0,112384.0,112384.0,112384.0
VECTOR_PPRF,PREPROCESSED_OT,12,32,key_setup_wall_ms,10,76.4545,76.5322,0.5563701405838875,76.02075,77.0595,75.88799999999999,77.378
VECTOR_PPRF,PREPROCESSED_OT,12,32,pprf_only_time_ms,10,76.4545,76.5322,0.5563701405838875,76.02075,77.0595,75.88799999999999,77.378
VECTOR_PPRF,PREPROCESSED_OT,12,32,pprf_setup_bytes,10,177920.0,177920.0,0.0,177920.0,177920.0,177920.0,177920.0
VECTOR_PPRF,PREPROCESSED_OT,12,32,total_comm_bytes,10,177920.0,177920.0,0.0,177920.0,177920.0,177920.0,177920.0
VECTOR_PPRF,PREPROCESSED_OT,14,8,key_setup_wall_ms,10,100.88399999999999,100.6133,0.8120925029412152,99.89275,101.2145,99.43,101.566
VECTOR_PPRF,PREPROCESSED_OT,14,8,pprf_only_time_ms,10,100.88399999999999,100.6133,0.8120925029412152,99.89275,101.2145,99.43,101.566
VECTOR_PPRF,PREPROCESSED_OT,14,8,pprf_setup_bytes,10,96512.0,96512.0,0.0,96512.0,96512.0,96512.0,96512.0
VECTOR_PPRF,PREPROCESSED_OT,14,8,total_comm_bytes,10,96512.0,96512.0,0.0,96512.0,96512.0,96512.0,96512.0
VECTOR_PPRF,PREPROCESSED_OT,14,16,key_setup_wall_ms,10,105.386,105.5266,0.45033992099795517,105.29449999999999,105.56599999999999,105.132,106.67
VECTOR_PPRF,PREPROCESSED_OT,14,16,pprf_only_time_ms,10,105.386,105.5266,0.45033992099795517,105.29449999999999,105.56599999999999,105.132,106.67
VECTOR_PPRF,PREPROCESSED_OT,14,16,pprf_setup_bytes,10,129280.0,129280.0,0.0,129280.0,129280.0,129280.0,129280.0
VECTOR_PPRF,PREPROCESSED_OT,14,16,total_comm_bytes,10,129280.0,129280.0,0.0,129280.0,129280.0,129280.0,129280.0
VECTOR_PPRF,PREPROCESSED_OT,14,32,key_setup_wall_ms,10,113.201,113.4251,1.1239524950419868,112.47325000000001,114.2065,112.042,115.28399999999999
VECTOR_PPRF,PREPROCESSED_OT,14,32,pprf_only_time_ms,10,113.201,113.4251,1.1239524950419868,112.47325000000001,114.2065,112.042,115.28399999999999
VECTOR_PPRF,PREPROCESSED_OT,14,32,pprf_setup_bytes,10,194816.0,194816.0,0.0,194816.0,194816.0,194816.0,194816.0
VECTOR_PPRF,PREPROCESSED_OT,14,32,total_comm_bytes,10,194816.0,194816.0,0.0,194816.0,194816.0,194816.0,194816.0
VECTOR_PPRF,PREPROCESSED_OT,16,8,key_setup_wall_ms,10,138.4595,138.656,1.335276251068167,137.94225,139.2305,137.036,141.70499999999998
VECTOR_PPRF,PREPROCESSED_OT,16,8,pprf_only_time_ms,10,138.4595,138.656,1.335276251068167,137.94225,139.2305,137.036,141.70499999999998
VECTOR_PPRF,PREPROCESSED_OT,16,8,pprf_setup_bytes,10,113408.0,113408.0,0.0,113408.0,113408.0,113408.0,113408.0
VECTOR_PPRF,PREPROCESSED_OT,16,8,total_comm_bytes,10,113408.0,113408.0,0.0,113408.0,113408.0,113408.0,113408.0
VECTOR_PPRF,PREPROCESSED_OT,16,16,key_setup_wall_ms,10,156.827,157.7018,2.296263380170299,156.47325,158.75375,155.248,162.866
VECTOR_PPRF,PREPROCESSED_OT,16,16,pprf_only_time_ms,10,156.827,157.7018,2.296263380170299,156.47325,158.75375,155.248,162.866
VECTOR_PPRF,PREPROCESSED_OT,16,16,pprf_setup_bytes,10,146176.0,146176.0,0.0,146176.0,146176.0,146176.0,146176.0
VECTOR_PPRF,PREPROCESSED_OT,16,16,total_comm_bytes,10,146176.0,146176.0,0.0,146176.0,146176.0,146176.0,146176.0
VECTOR_PPRF,PREPROCESSED_OT,16,32,key_setup_wall_ms,10,197.11450000000002,197.809,2.37329007451213,196.2575,200.111,194.404,201.18800000000002
VECTOR_PPRF,PREPROCESSED_OT,16,32,pprf_only_time_ms,10,197.11450000000002,197.809,2.37329007451213,196.2575,200.111,194.404,201.18800000000002
VECTOR_PPRF,PREPROCESSED_OT,16,32,pprf_setup_bytes,10,211712.0,211712.0,0.0,211712.0,211712.0,211712.0,211712.0
VECTOR_PPRF,PREPROCESSED_OT,16,32,total_comm_bytes,10,211712.0,211712.0,0.0,211712.0,211712.0,211712.0,211712.0
VECTOR_PPRF,PREPROCESSED_OT,18,8,key_setup_wall_ms,10,227.5765,228.1144,1.864058070149339,227.122,228.87849999999997,225.179,231.89499999999998
VECTOR_PPRF,PREPROCESSED_OT,18,8,pprf_only_time_ms,10,227.5765,228.1144,1.864058070149339,227.122,228.87849999999997,225.179,231.89499999999998
VECTOR_PPRF,PREPROCESSED_OT,18,8,pprf_setup_bytes,10,130304.0,130304.0,0.0,130304.0,130304.0,130304.0,130304.0
VECTOR_PPRF,PREPROCESSED_OT,18,8,total_comm_bytes,10,130304.0,130304.0,0.0,130304.0,130304.0,130304.0,130304.0
VECTOR_PPRF,PREPROCESSED_OT,18,16,key_setup_wall_ms,10,312.112,311.3535,2.087595866062198,310.66999999999996,312.766,307.606,313.614
VECTOR_PPRF,PREPROCESSED_OT,18,16,pprf_only_time_ms,10,312.112,311.3535,2.087595866062198,310.66999999999996,312.766,307.606,313.614
VECTOR_PPRF,PREPROCESSED_OT,18,16,pprf_setup_bytes,10,163072.0,163072.0,0.0,163072.0,163072.0,163072.0,163072.0
VECTOR_PPRF,PREPROCESSED_OT,18,16,total_comm_bytes,10,163072.0,163072.0,0.0,163072.0,163072.0,163072.0,163072.0
VECTOR_PPRF,PREPROCESSED_OT,18,32,key_setup_wall_ms,10,464.5145,464.7099,1.274414327358957,464.02799999999996,465.7015,462.482,466.69500000000005
VECTOR_PPRF,PREPROCESSED_OT,18,32,pprf_only_time_ms,10,464.5145,464.7099,1.274414327358957,464.02799999999996,465.7015,462.482,466.69500000000005
VECTOR_PPRF,PREPROCESSED_OT,18,32,pprf_setup_bytes,10,228608.0,228608.0,0.0,228608.0,228608.0,228608.0,228608.0
VECTOR_PPRF,PREPROCESSED_OT,18,32,total_comm_bytes,10,228608.0,228608.0,0.0,228608.0,228608.0,228608.0,228608.0
VECTOR_PPRF,PREPROCESSED_OT,20,8,key_setup_wall_ms,10,515.077,514.9713,1.022828436792326,513.9780000000001,515.86825,513.738,516.42
