method,logN,m,metric,count,median,mean,stddev,min,max,table,network_profile
SILENT_SVOLE,18,32,total_wall_ms,10,1773.621,1767.0288,11.111378895528647,1752.4820000000002,1780.844,local_runtime,
SILENT_SVOLE,18,32,total_comm_bytes,10,130525960.0,130525960.0,0.0,130525960.0,130525960.0,local_runtime,
SILENT_SVOLE,18,8,total_wall_ms,10,876.0245,875.9219,1.2867066837473191,873.379,877.9630000000001,local_runtime,
SILENT_SVOLE,18,8,total_comm_bytes,10,8389384.0,8389384.0,0.0,8389384.0,8389384.0,local_runtime,
SILENT_SVOLE,20,16,total_wall_ms,10,2973.0384999999997,2973.7907999999998,3.281265268154922,2968.8430000000003,2979.464,local_runtime,
SILENT_SVOLE,20,16,total_comm_bytes,10,32880392.0,32880392.0,0.0,32880392.0,32880392.0,local_runtime,
SILENT_SVOLE,20,32,total_wall_ms,10,3936.3105,3929.4327,35.58213695114448,3858.794,3978.719,local_runtime,
SILENT_SVOLE,20,32,total_comm_bytes,10,130557704.0,130557704.0,0.0,130557704.0,130557704.0,local_runtime,
SILENT_SVOLE,20,8,total_wall_ms,10,1964.4279999999999,1967.7701,9.026214970296282,1957.479,1982.699,local_runtime,
SILENT_SVOLE,20,8,total_comm_bytes,10,8421128.0,8421128.0,0.0,8421128.0,8421128.0,local_runtime,
RM_VECTOR_GENERIC_SPLIT,14,16,total_wall_ms,10,250.16949999999997,249.96970000000002,0.6652837063990108,248.606,250.991,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,14,16,total_comm_bytes,10,16941392.0,16941392.0,0.0,16941392.0,16941392.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,14,32,total_wall_ms,10,537.32,537.7484000000001,1.5496859165650223,535.871,540.919,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,14,32,total_comm_bytes,10,67373392.0,67373392.0,0.0,67373392.0,67373392.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,14,8,total_wall_ms,10,131.5625,131.6865,0.4558068121474246,131.056,132.677,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,14,8,total_comm_bytes,10,4308304.0,4308304.0,0.0,4308304.0,4308304.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,16,16,total_wall_ms,10,303.95849999999996,304.10999999999996,1.93947389773618,301.161,308.37199999999996,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,16,16,total_comm_bytes,10,16958288.0,16958288.0,0.0,16958288.0,16958288.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,16,32,total_wall_ms,10,633.6145,633.7533000000001,2.166861972992297,629.393,637.7080000000001,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,16,32,total_comm_bytes,10,67390288.0,67390288.0,0.0,67390288.0,67390288.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,16,8,total_wall_ms,10,175.28650000000002,175.0401,2.1872183452961402,171.601,178.052,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,16,8,total_comm_bytes,10,4325200.0,4325200.0,0.0,4325200.0,4325200.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,18,16,total_wall_ms,10,510.75200000000007,511.32480000000004,3.466347784051695,506.1600000000001,518.3370000000001,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,18,16,total_comm_bytes,10,16975184.0,16975184.0,0.0,16975184.0,16975184.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,18,32,total_wall_ms,10,998.936,999.7194,4.301615956823629,993.2189999999999,1007.4369999999999,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,18,32,total_comm_bytes,10,67407184.0,67407184.0,0.0,67407184.0,67407184.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,18,8,total_wall_ms,10,290.07849999999996,289.5897,1.5608437493868503,286.082,291.97,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,18,8,total_comm_bytes,10,4342096.0,4342096.0,0.0,4342096.0,4342096.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,20,16,total_wall_ms,10,1328.939,1332.0578,5.672390885684784,1327.156,1342.3,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,20,16,total_comm_bytes,10,16992080.0,16992080.0,0.0,16992080.0,16992080.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,20,32,total_wall_ms,10,2706.911,2706.74,3.1498524092408298,2700.6749999999997,2710.3269999999998,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,20,32,total_comm_bytes,10,67424080.0,67424080.0,0.0,67424080.0,67424080.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,20,8,total_wall_ms,10,704.005,706.6457,6.989272666737213,699.526,718.967,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,20,8,total_comm_bytes,10,4358992.0,4358992.0,0.0,4358992.0,4358992.0,network_runtime,FAST
RM_VECTOR_OPT,14,16,total_wall_ms,10,120.3355,120.1747,0.8437581466273375,118.248,121.394,network_runtime,FAST
RM_VECTOR_OPT,14,16,total_comm_bytes,10,2507360.0,2507360.0,0.0,2507360.0,2507360.0,network_runtime,FAST
