tag,status_token,method,encoder,logN,N,m,trial_index,warmup,requested_N,generated_N,code_size,base_field_wht_s,coordinate_wht_m_s,pointwise_ops_s,output_materialization_s,total_s,ns_per_rm_vole_coordinate,ns_per_base_field_matrix_entry,notes,timestamp,benchmark_source_commit,status,base_field_encoder_ms,coordinate_encoder_ms,pointwise_ops_ms,output_materialization_ms,total_ms
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,0,0,4096,4096,8432,0.000683,0.001374,0.000000,0.000030,0.002087,509.520760,63.690095,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214686+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.683,1.374,0.0,0.030000000000000002,2.0869999999999997
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,1,0,4096,4096,8432,0.000726,0.001404,0.000000,0.000025,0.002156,526.354484,65.794310,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214701+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.726,1.4040000000000001,0.0,0.025,2.156
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,2,0,4096,4096,8432,0.000709,0.001413,0.000000,0.000023,0.002145,523.631115,65.453889,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214713+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.709,1.413,0.0,0.023,2.145
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,3,0,4096,4096,8432,0.000691,0.001379,0.000000,0.000023,0.002093,510.910922,63.863865,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214725+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.691,1.379,0.0,0.023,2.093
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,4,0,4096,4096,8432,0.000715,0.001389,0.000000,0.000023,0.002128,519.495643,64.936955,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214742+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.7150000000000001,1.389,0.0,0.023,2.128
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,5,0,4096,4096,8432,0.000712,0.001457,0.000000,0.000024,0.002193,535.349159,66.918645,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214757+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.712,1.4569999999999999,0.0,0.024,2.193
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,6,0,4096,4096,8432,0.000699,0.001412,0.000000,0.000023,0.002135,521.179459,65.147432,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214772+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.699,1.4120000000000001,0.0,0.023,2.1350000000000002
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,7,0,4096,4096,8432,0.000718,0.001435,0.000000,0.000025,0.002178,531.738579,66.467322,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214784+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.718,1.435,0.0,0.025,2.178
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,8,0,4096,4096,8432,0.000734,0.001432,0.000000,0.000023,0.002190,534.600076,66.825010,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214796+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.734,1.432,0.0,0.023,2.19
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,8,9,0,4096,4096,8432,0.000670,0.001322,0.000000,0.000023,0.002015,491.847686,61.480961,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.214811+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.67,1.322,0.0,0.023,2.0149999999999997
