network_profile,network_label,method,logN,m,metric,count,median,mean,stddev,min,max
FAST,emulated TCP network,RM_VECTOR_OPT,14,32,total_comm_bytes,10,4571744.0,4571744.0,0.0,4571744.0,4571744.0
FAST,emulated TCP network,RM_VECTOR_OPT,14,32,split_input_phase_wall_ms,10,40.8795,40.9162,0.10927744506530086,40.803,41.157
FAST,emulated TCP network,RM_VECTOR_OPT,14,8,total_wall_ms,10,105.4625,105.769,1.0742828305432408,104.95500000000001,108.874
FAST,emulated TCP network,RM_VECTOR_OPT,14,8,total_comm_bytes,10,1475168.0,1475168.0,0.0,1475168.0,1475168.0
FAST,emulated TCP network,RM_VECTOR_OPT,14,8,split_input_phase_wall_ms,10,32.3575,32.4894,0.5137486155699102,32.106,33.985
FAST,emulated TCP network,RM_VECTOR_OPT,16,16,total_wall_ms,10,180.632,180.5363,2.3008953496410895,176.719,185.122
FAST,emulated TCP network,RM_VECTOR_OPT,16,16,total_comm_bytes,10,2524256.0,2524256.0,0.0,2524256.0,2524256.0
FAST,emulated TCP network,RM_VECTOR_OPT,16,16,split_input_phase_wall_ms,10,35.269000000000005,35.296,0.09679669415842582,35.159000000000006,35.448
FAST,emulated TCP network,RM_VECTOR_OPT,16,32,total_wall_ms,10,230.75849999999997,231.1534,2.931134838249514,226.993,237.64
FAST,emulated TCP network,RM_VECTOR_OPT,16,32,total_comm_bytes,10,4588640.0,4588640.0,0.0,4588640.0,4588640.0
FAST,emulated TCP network,RM_VECTOR_OPT,16,32,split_input_phase_wall_ms,10,40.9965,40.994,0.12056284668172122,40.825,41.251000000000005
FAST,emulated TCP network,RM_VECTOR_OPT,16,8,total_wall_ms,10,150.85500000000002,151.0727,0.8946724596186044,149.72,152.642
FAST,emulated TCP network,RM_VECTOR_OPT,16,8,total_comm_bytes,10,1492064.0,1492064.0,0.0,1492064.0,1492064.0
FAST,emulated TCP network,RM_VECTOR_OPT,16,8,split_input_phase_wall_ms,10,32.2625,32.3086,0.09686712548641198,32.204,32.505
