section,profile,network_label,source_profile,method,logN,m,metric,count,median,mean,stddev,min,max
runtime,WAN100,emulated TCP network,WAN100,RM_VECTOR_OPT,14,8,total_wall_ms,5,791.808,792.196,0.8882537925615404,791.5550000000001,793.944
runtime,WAN100,emulated TCP network,WAN100,RM_VECTOR_OPT,18,16,total_wall_ms,5,1085.5790000000002,1083.6978000000001,4.2479497831306565,1076.1190000000001,1087.968
runtime,WAN100,emulated TCP network,WAN100,RM_VECTOR_OPT,18,32,total_wall_ms,5,1441.1940000000002,1439.4976,2.9750790644956395,1435.031,1442.5639999999999
runtime,WAN100,emulated TCP network,WAN100,RM_VECTOR_OPT,18,8,total_wall_ms,5,861.583,862.3394,2.867250711047092,858.245,866.0400000000001
runtime,WAN100,emulated TCP network,WAN100,RM_VECTOR_OPT,20,16,total_wall_ms,5,1904.194,1903.7667999999999,1.3774407283073091,1901.486,1905.6329999999998
runtime,WAN100,emulated TCP network,WAN100,RM_VECTOR_OPT,20,32,total_wall_ms,5,3190.52,3195.8302,9.23484281187291,3187.802,3211.2780000000002
runtime,WAN100,emulated TCP network,WAN100,RM_VECTOR_OPT,20,8,total_wall_ms,5,1270.933,1270.8588,0.7257493782291283,1269.973,1271.6909999999998
runtime,WAN100,emulated TCP network,WAN100,SILENT_SVOLE,14,16,total_wall_ms,5,2981.639,2975.2766,48.83319660476884,2918.9669999999996,3037.959
runtime,WAN100,emulated TCP network,WAN100,SILENT_SVOLE,14,32,total_wall_ms,5,9369.962,9416.057,162.68789057210157,9235.005,9655.285
runtime,WAN100,emulated TCP network,WAN100,SILENT_SVOLE,14,8,total_wall_ms,5,1461.644,1462.6852,1.6940310977075583,1460.9589999999998,1465.267
runtime,WAN100,emulated TCP network,WAN100,SILENT_SVOLE,18,16,total_wall_ms,5,3524.825,3525.322,4.569018231524048,3519.065,3532.352
runtime,WAN100,emulated TCP network,WAN100,SILENT_SVOLE,18,32,total_wall_ms,5,10248.658000000001,10253.0348,11.274642298539122,10244.555,10275.299
runtime,WAN100,emulated TCP network,WAN100,SILENT_SVOLE,18,8,total_wall_ms,5,1580.067,1581.3702,3.8992871861406115,1577.275,1588.0890000000002
runtime,WAN100,emulated TCP network,WAN100,SILENT_SVOLE,20,16,total_wall_ms,5,5140.380999999999,5141.8356,7.034851600424913,5132.17,5150.684
runtime,WAN100,emulated TCP network,WAN100,SILENT_SVOLE,20,32,total_wall_ms,5,12095.264000000001,12090.1268,146.87338163928848,11832.303,12262.275000000001
runtime,WAN100,emulated TCP network,WAN100,SILENT_SVOLE,20,8,total_wall_ms,5,2551.9159999999997,2556.6274,9.422027331737151,2546.426,2571.404
runtime,WAN10,emulated TCP network,WAN10,RM_VECTOR_OPT,14,16,total_wall_ms,5,2249.8469999999998,2268.3504,37.076920603523696,2249.663,2342.504
runtime,WAN10,emulated TCP network,WAN10,RM_VECTOR_OPT,14,32,total_wall_ms,5,3646.414,3650.408,8.475434974088293,3642.291,3666.518
runtime,WAN10,emulated TCP network,WAN10,RM_VECTOR_OPT,14,8,total_wall_ms,5,1549.301,1576.8529999999998,54.13548221268563,1548.462,1685.078
runtime,WAN10,emulated TCP network,WAN10,RM_VECTOR_OPT,18,16,total_wall_ms,5,2476.643,2497.6316,42.90687047828127,2474.317,2583.371
runtime,WAN10,emulated TCP network,WAN10,RM_VECTOR_OPT,18,32,total_wall_ms,5,4077.54,4078.1248,4.403504395364988,4070.9730000000004,4084.48
runtime,WAN10,emulated TCP network,WAN10,RM_VECTOR_OPT,18,8,total_wall_ms,5,1691.826,1690.9548,1.21581830879451,1689.231,1692.03
runtime,WAN10,emulated TCP network,WAN10,RM_VECTOR_OPT,20,16,total_wall_ms,5,3328.9610000000002,3356.8354,40.05593890348838,3321.236,3420.6639999999998
runtime,WAN10,emulated TCP network,WAN10,RM_VECTOR_OPT,20,32,total_wall_ms,5,6294.846,7249.9002,2022.948945797041,5986.705,11282.337
runtime,WAN10,emulated TCP network,WAN10,RM_VECTOR_OPT,20,8,total_wall_ms,5,2105.118,2117.6117999999997,21.901911016164767,2103.174,2160.727
runtime,WAN10,emulated TCP network,WAN10,SILENT_SVOLE,14,16,total_wall_ms,5,22927.485,22933.4906,112.2311593677967,22778.210000000003,23128.479
runtime,WAN10,emulated TCP network,WAN10,SILENT_SVOLE,14,32,total_wall_ms,5,88984.117,89480.1178,1050.5565449089213,88287.49799999999,90832.751
runtime,WAN10,emulated TCP network,WAN10,SILENT_SVOLE,14,8,total_wall_ms,5,6192.393,6202.1686,20.238863185465856,6190.722,6242.618
runtime,WAN10,emulated TCP network,WAN10,SILENT_SVOLE,18,16,total_wall_ms,5,23347.151,23452.269,154.71290624379154,23303.172,23701.508
runtime,WAN10,emulated TCP network,WAN10,SILENT_SVOLE,18,32,total_wall_ms,5,89768.264,94097.73240000001,7688.296935913172,89442.761,109323.339
runtime,WAN10,emulated TCP network,WAN10,SILENT_SVOLE,18,8,total_wall_ms,5,6436.559,6466.1566,57.583306138497896,6434.801,6581.179999999999
runtime,WAN10,emulated TCP network,WAN10,SILENT_SVOLE,20,16,total_wall_ms,5,25001.739,24955.280600000002,82.39905325815427,24817.942,25035.969
runtime,WAN10,emulated TCP network,WAN10,SILENT_SVOLE,20,32,total_wall_ms,5,92063.886,92097.9608,456.3949801298895,91651.145,92922.90400000001
runtime,WAN10,emulated TCP network,WAN10,SILENT_SVOLE,20,8,total_wall_ms,5,7418.499,7427.7154,20.343921456789182,7403.436,7452.154
