method,role,network,address,N,log2N,m,reps,field_type,security_bits,median_total_s,bytes_sent_by_role,bytes_received_by_role,total_local_socket_bytes,entries,entries_per_s,rank_one_per_s,ok,notes
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12208,65536,16,16,3,"array<u8,m> over scalar u8",128,0.810208813,402653352,13080,402666432,1048576,1294204.63364,1.23424971928,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12208,65536,16,16,3,"array<u8,m> over scalar u8",128,0.838305149,13080,402653352,402666432,1048576,1250828.53332,1.19288304646,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12209,262144,18,8,3,"array<u8,m> over scalar u8",128,0.995609145,402653352,6552,402659904,2097152,2106400.90093,1.00441021963,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12209,262144,18,8,3,"array<u8,m> over scalar u8",128,1.025925311,6552,402653352,402659904,2097152,2044156.6043,0.974729826117,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12410,4096,12,8,3,"array<u8,m> over scalar u8",128,0.019967783,6291624,6552,6298176,32768,1641043.47488,50.0806724512,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12410,4096,12,8,3,"array<u8,m> over scalar u8",128,0.020596677,6552,6291624,6298176,32768,1590936.24666,48.5515211993,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12411,4096,12,16,3,"array<u8,m> over scalar u8",128,0.058817166,25165992,13080,25179072,65536,1114232.53545,17.001839225,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12411,4096,12,16,3,"array<u8,m> over scalar u8",128,0.059088093,13080,25165992,25179072,65536,1109123.62665,16.9238834633,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12412,4096,12,32,3,"array<u8,m> over scalar u8",128,0.139275136,100663464,26136,100689600,131072,941101.21709,7.18003247902,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12412,4096,12,32,3,"array<u8,m> over scalar u8",128,0.139941405,26136,100663464,100689600,131072,936620.580592,7.14584793543,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12413,4096,12,64,3,"array<u8,m> over scalar u8",128,0.464282358,402653352,52248,402705600,262144,564621.927762,2.15386172395,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12413,4096,12,64,3,"array<u8,m> over scalar u8",128,0.466198347,52248,402653352,402705600,262144,562301.436045,2.14500975054,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12414,16384,14,8,3,"array<u8,m> over scalar u8",128,0.066957939,25165992,6552,25172544,131072,1957527.39642,14.934748813,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12414,16384,14,8,3,"array<u8,m> over scalar u8",128,0.06713693,6552,25165992,25172544,131072,1952308.51336,14.8949318952,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12415,16384,14,16,3,"array<u8,m> over scalar u8",128,0.213681634,100663464,13080,100676544,262144,1226797.05828,4.6798593837,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12415,16384,14,16,3,"array<u8,m> over scalar u8",128,0.214176866,13080,100663464,100676544,262144,1223960.38795,4.66903834516,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12416,16384,14,32,3,"array<u8,m> over scalar u8",128,0.513750039,402653352,26136,402679488,524288,1020511.84467,1.9464718717,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12416,16384,14,32,3,"array<u8,m> over scalar u8",128,0.514477236,26136,402653352,402679488,524288,1019069.38405,1.94372059642,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12417,65536,16,8,3,"array<u8,m> over scalar u8",128,0.255487524,100663464,6552,100670016,524288,2052108.0317,3.91408544865,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12417,65536,16,8,3,"array<u8,m> over scalar u8",128,0.256219769,6552,100663464,100670016,524288,2046243.35603,3.90289946753,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12418,65536,16,16,3,"array<u8,m> over scalar u8",128,0.819448306,402653352,13080,402666432,1048576,1279612.13944,1.22033323234,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12418,65536,16,16,3,"array<u8,m> over scalar u8",128,0.840692547,13080,402653352,402666432,1048576,1247276.43149,1.18949549817,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12419,262144,18,8,3,"array<u8,m> over scalar u8",128,1.014941046,402653352,6552,402659904,2097152,2066279.62113,0.985278902594,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12419,262144,18,8,3,"array<u8,m> over scalar u8",128,1.040719266,6552,402653352,402659904,2097152,2015098.66158,0.960873919288,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
