method_pair,network,reps,logN,N,t,m,entries,rm_total_s_median,rm_split_input_vole_s_median,rm_pprf_setup_s_median,rm_expand_p0_s_median,rm_expand_p1_s_median,rm_clean_comm_bytes,rm_split_input_vole_bytes,rm_pprf_bytes,rm_entries_per_s,rm_bytes_per_entry,rm_split_input_time_fraction,rm_split_input_comm_fraction,subfield_total_s_median,subfield_comm_bytes,subfield_entries_per_s,subfield_bytes_per_entry,runtime_ratio_subfield_over_rm,comm_ratio_subfield_over_rm,notes
rmvole_split_input_vole_vs_libote_noisy_subfield_vole,tcp-loopback,3,12,4096,8,8,32768,0.045208000,0.034407000,0.011491000,0.000724000,0.000662000,1664880,1625256,39624,724827.464165634,50.808105469,0.761082109,0.976200086,0.020351000,6298176,1610142.007763746,192.205078125,0.450163688,3.782960934,RM includes real noisy-VOLE split-input for 2t sparse coefficients; libOTe baseline is generic noisy subfield VOLE.
rmvole_split_input_vole_vs_libote_noisy_subfield_vole,tcp-loopback,3,12,4096,8,16,65536,0.091736000,0.079008000,0.016369000,0.001425000,0.001360000,6447984,6396072,51912,714397.837272172,98.388427734,0.861254033,0.991949112,0.085983000,25179072,762197.178512031,384.202148438,0.937287434,3.904952618,RM includes real noisy-VOLE split-input for 2t sparse coefficients; libOTe baseline is generic noisy subfield VOLE.
rmvole_split_input_vole_vs_libote_noisy_subfield_vole,tcp-loopback,3,14,16384,16,8,131072,0.066537000,0.039032000,0.026241000,0.003900000,0.003039000,3283392,3198120,85272,1969911.477824369,25.050292969,0.586620978,0.974029297,0.090162000,25172544,1453738.825669351,192.051269531,1.355065603,7.666627683,RM includes real noisy-VOLE split-input for 2t sparse coefficients; libOTe baseline is generic noisy subfield VOLE.
rmvole_split_input_vole_vs_libote_noisy_subfield_vole,tcp-loopback,3,14,16384,16,16,262144,0.156831000,0.111382000,0.047415000,0.007395000,0.009327000,12797376,12687528,109848,1671506.271081610,48.818115234,0.710203978,0.991416365,0.212381000,100676544,1234310.037150216,384.050537109,1.354202932,7.866967728,RM includes real noisy-VOLE split-input for 2t sparse coefficients; libOTe baseline is generic noisy subfield VOLE.
rmvole_split_input_vole_vs_libote_noisy_subfield_vole,tcp-loopback,3,14,16384,16,32,524288,0.254786000,0.215176000,0.052645000,0.014745000,0.012210000,50699712,50540712,159000,2057758.275572441,96.702026367,0.844536199,0.996863888,0.513228000,402679488,1021549.876468158,768.050170898,2.014349297,7.942441330,RM includes real noisy-VOLE split-input for 2t sparse coefficients; libOTe baseline is generic noisy subfield VOLE.
rmvole_split_input_vole_vs_libote_noisy_subfield_vole,tcp-loopback,3,16,65536,64,8,524288,0.212115000,0.091876000,0.118726000,0.017040000,0.016181000,12975456,12635304,340152,2471715.814534569,24.748718262,0.433142399,0.973784968,0.269339000,100670016,1946572.906263111,192.012817383,1.269778186,7.758495424,RM includes real noisy-VOLE split-input for 2t sparse coefficients; libOTe baseline is generic noisy subfield VOLE.
rmvole_split_input_vole_vs_libote_noisy_subfield_vole,tcp-loopback,3,16,65536,64,16,1048576,0.306458000,0.184650000,0.132134000,0.028820000,0.026392000,50874720,50436264,438456,3421597.739331327,48.517913818,0.602529547,0.991381653,0.903167000,402666432,1160999.017900344,384.012634277,2.947115102,7.914862863,RM includes real noisy-VOLE split-input for 2t sparse coefficients; libOTe baseline is generic noisy subfield VOLE.
