method,role,network,address,logN,N,t,m,blockSize,reps,median_s_setup_s,median_e_setup_s,median_total_setup_s,median_verify_s,bytes_sent_by_role,bytes_received_by_role,total_local_socket_bytes,scalar_pprf_count_s,scalar_pprf_count_e,total_scalar_pprf_count,expanded_leaves_per_coordinate_per_sparse_vector,total_scalar_expanded_leaves,total_scalar_expanded_leaves_over_2mN,ok,notes
RMVOLE-PPRF-RegularPprf,sender-server,tcp-loopback,0.0.0.0:12220,12,4096,8,8,512,3,0.0400394939934,0.0399522579974,0.0800277930102,0,1686168,120984,1807152,8,8,16,4096,65536,1,1,tcp_two_process; server_runs_RegularPprfSender; receives_test_beta; sends_sender_output_for_opening; DefaultBaseOT_repeated_per_scalar
RMVOLE-PPRF-RegularPprf,receiver-client,tcp-loopback,127.0.0.1:12220,12,4096,8,8,512,3,0.0400500310061,0.0399468139804,0.0800431469979,0.000221704074647,120984,1686168,1807152,8,8,16,4096,65536,1,1,tcp_two_process; client_generates_centralized_test_inputs; verifies_s_and_e; DefaultBaseOT_repeated_per_scalar
RMVOLE-PPRF-RegularPprf,sender-server,tcp-loopback,0.0.0.0:12221,14,16384,16,16,1024,3,0.16528438899,0.166143566021,0.332707747002,0,13080600,535320,13615920,16,16,32,16384,524288,1,1,tcp_two_process; server_runs_RegularPprfSender; receives_test_beta; sends_sender_output_for_opening; DefaultBaseOT_repeated_per_scalar
RMVOLE-PPRF-RegularPprf,receiver-client,tcp-loopback,127.0.0.1:12221,14,16384,16,16,1024,3,0.165295998973,0.166144693008,0.332745568972,0.00174062696169,535320,13080600,13615920,16,16,32,16384,524288,1,1,tcp_two_process; client_generates_centralized_test_inputs; verifies_s_and_e; DefaultBaseOT_repeated_per_scalar
